Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_25,J_24,J_23,J_22,J_21,Avg_last_5_games,Value,img,squad_img
1,Athletic Club,Unai Simón,PT,24,88,4,4,97,4.4,"['8', '-', '1', '-', '-']",8,0,1,0,0,1.8,3860000,https://www.comuniate.com/caras3/2669.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Agirrezabala,PT,0.17,12,22,22,19,4.8,"['-', '6', '3', '8', '2']",0,6,3,8,2,3.8,1080000,https://www.comuniate.com/caras3/3140.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Ander Iru,PT,0.00,0,0.00,0.00,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,190000,https://www.comuniate.com/caras3/3309.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Yeray Álvarez,DF,134,80,0.19,0.00,100,5,"['5', '3', '2', '-', '-']",5,3,2,0,0,2.0,6150000,https://www.comuniate.com/caras3/2326.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,De Marcos,DF,3.9,88,91,98,93,3.7,"['3', '2', '-2', '2', '2']",3,2,-2,2,2,1.4,5190000,https://www.comuniate.com/caras3/1032.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Daniel Vivian,DF,1,68,4.8,2.2,81,4.5,"['5', '0', '-', '6', '4']",5,0,0,6,4,3.0,3560000,https://www.comuniate.com/caras3/2968.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Yuri Berchiche,DF,1,56,0,5,76,4.8,"['-', '5', '11', '6', '2']",0,5,11,6,2,4.8,6060000,https://www.comuniate.com/caras3/1074.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Lekue,DF,19,52,2,4,66,3.7,"['4', '-', '4', '6', '-']",4,0,4,6,0,2.8,1090000,https://www.comuniate.com/caras3/2140.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Iñigo Martínez,DF,0.13,44,19,"1,617",49,4.5,"['-', '-', '-', '5', '5']",0,0,0,5,5,2.0,6250000,https://www.comuniate.com/caras3/1424.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Aitor Paredes,DF,0.17,8,0.36,0.19,12,2,"['-', '2', '2', '-', '-']",0,2,2,0,0,0.8,600000,https://www.comuniate.com/caras3/3331.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Capa,DF,4,0,0.06,0.06,9,2.3,"['-', '-', '3', '-', '4']",0,0,3,0,4,1.4,380000,https://www.comuniate.com/caras3/1866.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Balenziaga,DF,3.1,4,85,0.00,4,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,360000,https://www.comuniate.com/caras3/937.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Álex Berenguer,MD,6,76,0.8,1.6,112,4.7,"['0', '2', '7', '4', '3']",0,2,7,4,3,3.2,8040000,https://www.comuniate.com/caras3/2241.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Nico Williams,MD,1,92,1,0,108,4.5,"['6', '4', '-', '5', '2']",6,4,0,5,2,3.4,12220000,https://www.comuniate.com/caras3/3084.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Sancet,MD,990,88,0,0,106,4.4,"['11', '3', '0', '-6', '-']",11,3,0,-6,0,1.6,11580000,https://www.comuniate.com/caras3/2662.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Muniain,MD,0.05,60,835,9.3,101,4.8,"['5', '5', '3', '-', '4']",5,5,3,0,4,3.4,9980000,https://www.comuniate.com/caras3/1053.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Mikel Vesga,MD,0.11,76,0.05,0.07,98,4.1,"['5', '2', '2', '2', '5']",5,2,2,2,5,3.2,4470000,https://www.comuniate.com/caras3/2305.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Dani García,MD,0.67,40,0.67,0.42,56,3.5,"['4', '2', '-', '6', '7']",4,2,0,6,7,3.8,1420000,https://www.comuniate.com/caras3/1864.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Zarraga,MD,4.2,16,0.26,0.26,47,2.6,"['5', '2', '-', '2', '3']",5,2,0,2,3,2.4,830000,https://www.comuniate.com/caras3/3030.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Ander Herrera,MD,0,16,1.2,10,23,2.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,910000,https://www.comuniate.com/caras3/1016.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Jon Morcillo,MD,0,0,1,0.2,17,1.7,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,360000,https://www.comuniate.com/caras3/2994.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Unai Vencedor,MD,3.5,0,0,0,15,2.1,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,460000,https://www.comuniate.com/caras3/2907.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Malcom Adu,MD,0.00,0,2.6,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,310000,https://www.comuniate.com/caras3/3316.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Williams,DL,0.10,84,0.10,2,101,4.4,"['7', '4', '2', '2', '4']",7,4,2,2,4,3.8,9910000,https://www.comuniate.com/caras3/1995.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Guruzeta,DL,0.00,28,0.02,0.00,82,4.6,"['3', '1', '2', '6', '4']",3,1,2,6,4,3.2,4240000,https://www.comuniate.com/caras3/2664.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
1,Athletic Club,Raúl García,DL,0,20,0.00,0.00,81,3.4,"['2', '2', '11', '2', '2']",2,2,11,2,2,3.8,2010000,https://www.comuniate.com/caras3/415.png,https://www.comuniate.com/intranet/equipos/fotos/1.jpg
2,Club Atlético de Madrid,Oblak,PT,23,92,0,0,110,4.8,"['10', '8', '7', '1', '11']",10,8,7,1,11,7.4,6630000,https://www.comuniate.com/caras3/1897.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Ivo Grbic,PT,0.00,8,22,22,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000,https://www.comuniate.com/caras3/2971.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Reinildo Mandava,DF,0.00,88,0.03,0.04,102,4.6,"['6', '10', '2', '-', '-']",6,10,2,0,0,3.6,4850000,https://www.comuniate.com/caras3/3232.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,José Giménez,DF,74,56,0.05,0.00,92,5.8,"['-', '6', '12', '5', '6']",0,6,12,5,6,5.8,4790000,https://www.comuniate.com/caras3/1676.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Nahuel Molina,DF,6.5,80,96,123,74,3.7,"['7', '3', '-1', '-', '5']",7,3,-1,0,5,2.8,3670000,https://www.comuniate.com/caras3/3305.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Mario Hermoso,DF,0,44,0.6,1.2,63,4.8,"['7', '3', '5', '2', '5']",7,3,5,2,5,4.4,5300000,https://www.comuniate.com/caras3/2434.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Savic,DF,0,68,0,3,61,3.6,"['-3', '-', '3', '2', '4']",-3,0,3,2,4,1.2,4090000,https://www.comuniate.com/caras3/2109.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Reguilón,DF,17,0,1,2,8,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1380000,https://www.comuniate.com/caras3/2683.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Doherty,DF,0.26,0,16,"1,322",2,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,1480000,https://www.comuniate.com/caras3/3391.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Rodrigo de Paul,MD,0.68,52,0.60,0.54,100,5.6,"['9', '6', '-', '-', '2']",9,6,0,0,2,3.4,7020000,https://www.comuniate.com/caras3/1846.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Koke,MD,8,72,0.00,0.00,87,4.1,"['6', '3', '4', '6', '4']",6,3,4,6,4,4.6,6320000,https://www.comuniate.com/caras3/1083.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Ferreira Carrasco,MD,0.1,56,3,0.07,84,3.7,"['1', '3', '4', '9', '4']",1,3,4,9,4,4.2,6870000,https://www.comuniate.com/caras3/2095.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Marcos Llorente,MD,1,68,2.1,5.8,83,4.6,"['4', '5', '3', '5', '3']",4,5,3,5,3,4.0,7460000,https://www.comuniate.com/caras3/2158.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Witsel,MD,3,60,4,0,78,3.7,"['4', '-', '2', '6', '2']",4,0,2,6,2,2.8,2590000,https://www.comuniate.com/caras3/3289.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Lemar,MD,982,44,2,2,70,3.9,"['-', '-', '2', '6', '5']",0,0,2,6,5,2.6,2610000,https://www.comuniate.com/caras3/2596.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Kondogbia,MD,0.14,40,820,9.1,68,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2660000,https://www.comuniate.com/caras3/1555.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Saúl Ñíguez,MD,0.22,28,0.03,0.20,65,3.1,"['2', '-', '3', '3', '3']",2,0,3,3,3,2.2,1620000,https://www.comuniate.com/caras3/1746.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Pablo Barrios,MD,0.00,20,0.19,0.07,35,3.9,"['4', '4', '3', '7', '-']",4,4,3,7,0,3.6,3800000,https://www.comuniate.com/caras3/3357.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Carlos Martín,MD,7.7,0,0.47,0.00,2,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,220000,https://www.comuniate.com/caras3/3182.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Griezmann,DL,0,72,4.3,17,209,8.4,"['5', '13', '7', '17', '7']",5,13,7,17,7,9.8,29030000,https://www.comuniate.com/caras3/1153.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Morata,DL,1,64,0,1.2,140,5.6,"['3', '1', '2', '16', '9']",3,1,2,16,9,6.2,18940000,https://www.comuniate.com/caras3/1254.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Correa,DL,4.6,36,0,0,85,3.7,"['1', '4', '-7', '-', '4']",1,4,-7,0,4,0.4,5430000,https://www.comuniate.com/caras3/1870.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
2,Club Atlético de Madrid,Depay,DL,0.19,16,4.2,0,47,5.9,"['7', '4', '-', '16', '4']",7,4,0,16,4,6.2,15260000,https://www.comuniate.com/caras3/3104.png,https://www.comuniate.com/intranet/equipos/fotos/62.jpg
3,CA Osasuna,Aitor Fernández,PT,25,52,1,2,76,5.8,"['10', '-', '6', '5', '-']",10,0,6,5,0,4.2,3090000,https://www.comuniate.com/caras3/2633.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,Sergio Herrera,PT,0.16,48,24,23,54,4.5,"['-', '4', '-', '-', '10']",0,4,0,0,10,2.8,1910000,https://www.comuniate.com/caras3/2774.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,David García Zub.,DF,0.00,88,0.01,0.05,111,5,"['-', '1', '12', '7', '3']",0,1,12,7,3,4.6,6550000,https://www.comuniate.com/caras3/2238.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,Manu Sánchez,DF,72,44,0.09,0.09,69,3.6,"['4', '2', '0', '5', '-']",4,2,0,5,0,2.2,1530000,https://www.comuniate.com/caras3/2876.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,Juan Cruz,DF,3.4,68,31,78,58,3.1,"['4', '-', '1', '-', '3']",4,0,1,0,3,1.6,660000,https://www.comuniate.com/caras3/2975.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,Aridane Hernández,DF,0,40,1.2,0.8,47,4.3,"['9', '-', '2', '5', '2']",9,0,2,5,2,3.6,2460000,https://www.comuniate.com/caras3/2093.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
3,CA Osasuna,Unai García,DF,0,64,0,6,45,2.6,"['-', '-2', '-', '-', '-']",0,-2,0,0,0,-0.4,970000,https://www.comuniate.com/caras3/1681.png,https://www.comuniate.com/intranet/equipos/fotos/114.jpg
